Assay,Infiltrate,Treatment,Group,Slice,Count,KS_Neutrophil.Score,SL_Neutrophil.Score,Avg_Neutrophil.Score
P1A3,Neutrophil,CRA,1-1L,HE 1-1L B2.tif,246,4,2,3
P1A3,Neutrophil,CRA,1-1L,HE 1-1L B1.tif,485,3,3,3
P1A3,Neutrophil,CRA,1-2L,HE 1-2L B1.tif,156,3,3,3
P1A3,Neutrophil,CRA,1-2L,HE 1-2L B2.tif,524,3,4,3.5
P1A3,Neutrophil,CRA,1-3L,HE 1-3L B1.tif,114,0,NA,0
P1A3,Neutrophil,CRA,1-3L,HE 1-3L B2.tif,61,1,NA,1
P1A3,Neutrophil,CRA,1-4L,HE 1-4L B1.tif,104,1,NA,1
P1A3,Neutrophil,CRA,1-4L,HE 1-4L B2.tif,134,1,2,1.5
P1A3,Neutrophil,CRA,1-5L,HE 1-5L B1.tif,270,2,2,2
P1A3,Neutrophil,CRA,1-5L,HE 1-5L B2.tif,249,3,2,2.5
P1A3,Neutrophil,DiHOME,2-1L,HE 2-1L B1.tif,893,4,4,4
P1A3,Neutrophil,DiHOME,2-1L,HE 2-1L B2.tif,454,3,4,3.5
P1A3,Neutrophil,DiHOME,2-2L,HE 2-2L B2.tif,269,3,3,3
P1A3,Neutrophil,DiHOME,2-2L,HE 2-2L V1.tif,887,4,4,4
P1A3,Neutrophil,DiHOME,2-3L,HE 2-3L B1.tif,242,3,2,2.5
P1A3,Neutrophil,DiHOME,2-3L,HE 2-3L B2.tif,235,3,3,3
P1A3,Neutrophil,DiHOME,2-4L,HE 2-4L B1.tif,225,3,2,2.5
P1A3,Neutrophil,DiHOME,2-4L,HE 2-4L B2.tif,245,3,3,3
P1A3,Neutrophil,DiHOME,2-5L,HE 2-5L B1.tif,878,4,4,4
P1A3,Neutrophil,DiHOME,2-5L,HE 2-5L B2.tif,347,3,3,3
P1A2,Neutrophil,CRA,1-1L,1-1L-HE-A-selection.jpg,590,2,1,1.5
P1A2,Neutrophil,CRA,1-1L,1-1L-HE-C-selection.tif,250,3,0,1.5
P1A2,Neutrophil,CRA,1-2L,1-2L-HE_Bronchiole2,202,2,3,2.5
P1A2,Neutrophil,CRA,1-2L,1-2L-HE_Bronchioe1-selection.tif,103,1,0,0.5
P1A2,Neutrophil,CRA,1-3L,1-3L-HE-A.PNG,187,2,0,1
P1A2,Neutrophil,CRA,1-3L,1-3L-HE-B.PNG,256,1,2,1.5
P1A2,Neutrophil,CRA,1-3L,1-3L-HE-C.PNG,565,2,2,2
P1A2,Neutrophil,DiHOME,2-1L,2-1L-HE-C-1.PNG,126,3,3,3
P1A2,Neutrophil,DiHOME,2-1L,2-1L-HE_Bronchiole1.tif,203,2,3,2.5
P1A2,Neutrophil,DiHOME,2-2L,2-2L-HE-B.PNG,133,1,2,1.5
P1A2,Neutrophil,DiHOME,2-2L,2-2L-HE-A.PNG,250,2,3,2.5
P1A2,Neutrophil,DiHOME,2-2L,2-2L-HE-C.PNG,91,2,1,1.5
P1A2,Neutrophil,DiHOME,2-3L,2-3L-HE-A.PNG,242,2,4,3
P1A2,Neutrophil,DiHOME,2-3L,2-3L-HE-B.PNG,230,2,3,2.5
P1A2,Neutrophil,DiHOME,2-4L,2-4L-HE-A.PNG,226,2,2,2
P1A2,Neutrophil,DiHOME,2-4L,2-4L-HE-B.PNG,258,3,3,3
P1A2,Neutrophil,DiHOME,2-4L,2-4L-HE-C.PNG,336,2,2,2
P1A4,Neutrophil,PBS,1-1L,1L1 B1,119,1,0,0.5
P1A4,Neutrophil,PBS,1-1L,1L1 B2,28,0,1,0.5
P1A4,Neutrophil,PBS,1-2L,1L2 B1,154,4,3,3.5
P1A4,Neutrophil,PBS,1-2L,1L2 B2,224,3,3,3
P1A4,Neutrophil,PBS,1-3L,1L3 B1,60,2,1,1.5
P1A4,Neutrophil,PBS,1-3L,1L3 B2,73,1,0,0.5
P1A4,Neutrophil,PBS,1-4L,1L4 B1,55,1,3,2
P1A4,Neutrophil,PBS,1-4L,1L4 B2,55,2,2,2
P1A4,Neutrophil,PBS,1-5L,1L5 B1,149,1,1,1
P1A4,Neutrophil,PBS,1-5L,1L5 B2,106,2,0,1
P1A4,Neutrophil,CRA,2-1L,2L1 B1,101,2,3,2.5
P1A4,Neutrophil,CRA,2-1L,2L1 B2,108,2,1,1.5
P1A4,Neutrophil,CRA,2-2L,2L2 B1,128,3,1,2
P1A4,Neutrophil,CRA,2-2L,2L2 B2,70,4,2,3
P1A4,Neutrophil,CRA,2-3L,2L3 B1,98,2,1,1.5
P1A4,Neutrophil,CRA,2-3L,2L3 B2,83,2,2,2
P1A4,Neutrophil,CRA,2-4L,2L4 B1,453,4,3,3.5
P1A4,Neutrophil,CRA,2-4L,2L4 B2,206,4,2,3
P1A4,Neutrophil,CRA,2-5L,2L5 B1,197,3,2,2.5
P1A4,Neutrophil,CRA,2-5L,2L5 B2,185,3,4,3.5
P1A4,Neutrophil,DiHOME,3-1L,3L1 B1,164,4,4,4
P1A4,Neutrophil,DiHOME,3-1L,3L1 B2,298,4,3,3.5
P1A4,Neutrophil,DiHOME,3-2L,3L2 B1,264,4,3,3.5
P1A4,Neutrophil,DiHOME,3-2L,3L2 B2,493,4,3,3.5
P1A4,Neutrophil,DiHOME,3-3L,3L3 B1,443,4,3,3.5
P1A4,Neutrophil,DiHOME,3-3L,3L3 B2,219,4,4,4
P1A4,Neutrophil,DiHOME,3-4L,3L4 B1,213,3,3,3
P1A4,Neutrophil,DiHOME,3-4L,3L4 B2,255,4,4,4
P1A4,Neutrophil,DiHOME,3-5L,3L5 B1,643,4,4,4
P1A4,Neutrophil,DiHOME,3-5L,3L5 B2,460,3,4,3.5
P1A6,Neutrophil,PBS,P1A6_01,B1,63,1,2,1.5
P1A6,Neutrophil,PBS,P1A6_01,B2,94,1,3,2
P1A6,Neutrophil,PBS,P1A6_02,B1,335,3,4,3.5
P1A6,Neutrophil,PBS,P1A6_02,B2,193,3,4,3.5
P1A6,Neutrophil,PBS,P1A6_03,B1,175,2,3,2.5
P1A6,Neutrophil,PBS,P1A6_03,B2,139,3,3,3
P1A6,Neutrophil,PBS,P1A6_04,B1,117,2,2,2
P1A6,Neutrophil,PBS,P1A6_04,B2,138,2,3,2.5
P1A6,Neutrophil,PBS,P1A6_05,B1,106,2,3,2.5
P1A6,Neutrophil,PBS,P1A6_05,B2,75,1,2,1.5
P1A6,Neutrophil,CRA,P1A6_06,B1,193,3,3,3
P1A6,Neutrophil,CRA,P1A6_06,B2,165,4,3,3.5
P1A6,Neutrophil,CRA,P1A6_07,B1,163,3,3,3
P1A6,Neutrophil,CRA,P1A6_07,B2,155,4,3,3.5
P1A6,Neutrophil,CRA,P1A6_08,B1,83,3,2,2.5
P1A6,Neutrophil,CRA,P1A6_08,B2,160,3,3,3
P1A6,Neutrophil,CRA,P1A6_09,B1,146,2,3,2.5
P1A6,Neutrophil,CRA,P1A6_09,B2,138,3,3,3
P1A6,Neutrophil,CRA,P1A6_10,B1,180,3,4,3.5
P1A6,Neutrophil,CRA,P1A6_10,B2,95,2,3,2.5
P1A6,Neutrophil,DiHOME,P1A6_11,B1,94,2,3,2.5
P1A6,Neutrophil,DiHOME,P1A6_11,B2,78,3,3,3
P1A6,Neutrophil,DiHOME,P1A6_12,B1,56,1,2,1.5
P1A6,Neutrophil,DiHOME,P1A6_12,B2,96,2,1,1.5
P1A6,Neutrophil,DiHOME,P1A6_13,B1,91,3,3,3
P1A6,Neutrophil,DiHOME,P1A6_13,B2,207,4,4,4
P1A6,Neutrophil,DiHOME,P1A6_14,B1,170,3,2,2.5
P1A6,Neutrophil,DiHOME,P1A6_14,B2,154,3,3,3
P1A6,Neutrophil,DiHOME,P1A6_15,B1,139,2,2,2
P1A6,Neutrophil,DiHOME,P1A6_15,B2,71,2,3,2.5
