Assay,Sample.Type,Group,Sample.Name,T_910.Calculated,DiHOMEng.mg.1
P2A1,Control,L-C,L C5,486.606,67.90047984
P2A1,Control,L-C,L C6,39.449,98.90362371
P2A1,Control,L-C,L C7,261.486,74.00981173
P2A1,DiHOME,L-D,L D5,482.989,137.0418999
P2A1,DiHOME,L-D,L D6,266.158,188.8100633
P2A1,DiHOME,L-D,L D7,32.897,109.0671882
P2A2,Control,L-C,L C1,0,14.14956581
P2A2,Control,L-C,L C2,94.599,21.4404292
P2A2,Control,L-C,L C3,40.001,18.57756136
P2A2,Control,L-C,L C4,31.522,34.66633747
P2A2,DiHOME,L-D,L D1,132.846,360.0695395
P2A2,DiHOME,L-D,L D2,151.115,258.789875
P2A2,DiHOME,L-D,L D3,140.424,216.5239793
P2A2,DiHOME,L-D,L D4,135.783,48.12762952
