Sample,Treatment,Assay,Sample,FreqPar,Count,FreqLive
V-1,PBS,P1A5,LungSamples_LungDC_001_011.fcs,4.35,2,0.029
V-2,PBS,P1A5,LungSamples_LungDC_002_012.fcs,9.78,9,0.035
V-3,PBS,P1A5,LungSamples_LungDC_003_013.fcs,11.1,6,0.087
V-4,PBS,P1A5,LungSamples_LungDC_004_014.fcs,9.52,4,0.064
V-5,PBS,P1A5,LungSamples_LungDC_005_015.fcs,5.88,4,0.063
C-1,CRA,P1A5,LungSamples_LungDC_006_016.fcs,17.7,72,0.48
C-2,CRA,P1A5,LungSamples_LungDC_007_017.fcs,16.8,31,0.34
C-3,CRA,P1A5,LungSamples_LungDC_008_018.fcs,29.2,93,0.82
C-4,CRA,P1A5,LungSamples_LungDC_009_019.fcs,34.3,192,1.45
C-5,CRA,P1A5,LungSamples_LungDC_010_020.fcs,34.4,78,0.99
D-1,DiHOME,P1A5,LungSamples_LungDC_011_021.fcs,7.69,2,0.028
D-2,DiHOME,P1A5,LungSamples_LungDC_012_022.fcs,22.3,199,0.66
D-3,DiHOME,P1A5,LungSamples_LungDC_013_023.fcs,16.4,20,0.2
D-4,DiHOME,P1A5,LungSamples_LungDC_014_024.fcs,14.2,51,0.3
V-2,PBS,P1A4,Lung-15_dc_002_014.fcs,3.03,3,2.69E-03
V-3,PBS,P1A4,Lung-15_dc_003_015.fcs,0,0,0
C-1,CRA,P1A4,Lung-15_dc_006_018.fcs,10.6,239,0.24
C-2,CRA,P1A4,Lung-15_dc_007_019.fcs,5.43,45,0.047
C-3,CRA,P1A4,Lung-15_dc_008_020.fcs,13.3,429,0.48
C-4,CRA,P1A4,Lung-15_dc_009_021.fcs,8.83,208,0.69
C-5,CRA,P1A4,Lung-15_dc_010_022.fcs,12.7,63,0.3
D-4,DiHOME,P1A4,Lung-15_dc_014_026.fcs,18.4,407,0.66
D-5,DiHOME,P1A4,Lung-15_dc_015_027.fcs,13.2,137,0.26
