Assay,Tissue,Treatment,Sample:,CD3R
P1A5,Lung,PBS,WT_Mouse_DC_LungT_001_013.fcs,5.03
P1A5,Lung,PBS,WT_Mouse_DC_LungT_002_014.fcs,2.76
P1A5,Lung,PBS,WT_Mouse_DC_LungT_003_015.fcs,5.32
P1A5,Lung,PBS,WT_Mouse_DC_LungT_004_016.fcs,1.22
P1A5,Lung,PBS,WT_Mouse_DC_LungT_005_017.fcs,0.73
P1A5,Lung,CRA,WT_Mouse_DC_LungT_006_018.fcs,7.38
P1A5,Lung,CRA,WT_Mouse_DC_LungT_007_019.fcs,9.2
P1A5,Lung,CRA,WT_Mouse_DC_LungT_008_020.fcs,10.5
P1A5,Lung,CRA,WT_Mouse_DC_LungT_009_021.fcs,8.08
P1A5,Lung,CRA,WT_Mouse_DC_LungT_010_022.fcs,3.13
P1A5,Lung,DiHOME,WT_Mouse_DC_LungT_012_024.fcs,10.1
P1A5,Lung,DiHOME,WT_Mouse_DC_LungT_013_025.fcs,5.58
P1A5,Lung,DiHOME,WT_Mouse_DC_LungT_014_026.fcs,10.6
P1A4,Lung,PBS,Lung-15_dc_001_015.fcs,3.75
P1A4,Lung,PBS,Lung-15_dc_002_016.fcs,1.94
P1A4,Lung,PBS,Lung-15_dc_003_017.fcs,1.32
P1A4,Lung,PBS,Lung-15_dc_004_018.fcs,1.42
P1A4,Lung,PBS,Lung-15_dc_005_019.fcs,1.24
P1A4,Lung,CRA,Lung-15_dc_006_020.fcs,3.2
P1A4,Lung,CRA,Lung-15_dc_007_021.fcs,3.83
P1A4,Lung,CRA,Lung-15_dc_008_022.fcs,6.2
P1A4,Lung,CRA,Lung-15_dc_009_023.fcs,5.37
P1A4,Lung,CRA,Lung-15_dc_010_024.fcs,4.68
P1A4,Lung,DiHOME,Lung-15_dc_011_025.fcs,6.52
P1A4,Lung,DiHOME,Lung-15_dc_012_026.fcs,5.44
P1A4,Lung,DiHOME,Lung-15_dc_013_027.fcs,8.12
P1A4,Lung,DiHOME,Lung-15_dc_014_028.fcs,11.9
P1A4,Lung,DiHOME,Lung-15_dc_015_029.fcs,13.4
