Assay,Group,Sample,Serum.igE,Run
P1A6,PBS,Cage1-1,0,3
P1A6,PBS,Cage1-2,0,3
P1A6,PBS,Cage1-3,9.613333333,3
P1A6,PBS,Cage1-4,14.94,3
P1A6,CRA,Cage2-1,5.033333333,3
P1A6,CRA,Cage2-2,13.9,3
P1A6,CRA,Cage2-3,7.973333333,3
P1A6,CRA,Cage2-4,13.18,3
P1A6,CRA,Cage2-5,10.77333333,3
P1A6,DiHOME,Cage3-1,10.92666667,3
P1A6,DiHOME,Cage3-2,39.83333333,3
P1A6,DiHOME,Cage3-3,17.14666667,3
P1A6,DiHOME,Cage3-4,68.65333333,3
P1A6,DiHOME,Cage3-5,40.74,3
P1A2,CRA,P1A2-1,31.03676707,1
P1A2,CRA,P1A2-2,128.0911903,1
P1A2,CRA,P1A2-3,48.67616607,1
P1A2,DiHOME,P1A2-4,88.37679133,1
P1A2,DiHOME,P1A2-5,131.9082235,1
P1A2,DiHOME,P1A2-6,97.15846407,1
P1A2,DiHOME,P1A2-7,128.4463073,1
P1A3,DiHOME,P1A3-10,84.2523753,1
P1A3,CRA,P1A3-3,16.44409263,1
P1A3,CRA,P1A3-4,157.5626125,1
P1A3,CRA,P1A3-5,77.8400701,1
P1A3,DiHOME,P1A3-6,165.5994111,1
P1A3,DiHOME,P1A3-7,164.4149242,1
P1A3,DiHOME,P1A3-9,109.1517378,1
P1A4,PBS,P1A4-1,35.70293333,1
P1A4,CRA,P1A4-10,17.43470387,1
P1A4,DiHOME,P1A4-11,10.86152443,1
P1A4,DiHOME,P1A4-12,13.3810953,1
P1A4,DiHOME,P1A4-13,54.32012763,1
P1A4,DiHOME,P1A4-14,73.82983913,1
P1A4,DiHOME,P1A4-15,21.70591947,1
P1A4,PBS,P1A4-2,27.6894894,1
P1A4,PBS,P1A4-3,9.142141667,1
P1A4,PBS,P1A4-4,3.637853967,1
P1A4,PBS,P1A4-5,3.617244033,1
P1A4,CRA,P1A4-6,4.957490367,1
P1A4,CRA,P1A4-7,8.666574833,1
P1A4,CRA,P1A4-8,22.6478944,1
P1A4,CRA,P1A4-9,18.66023433,1
P1A5,CRA,P1A5-C1,67.2577135,2
P1A5,CRA,P1A5-C2,34.2642055,2
P1A5,CRA,P1A5-C3,74.42745365,2
P1A5,CRA,P1A5-C4,39.2945083,2
P1A5,CRA,P1A5-C5,15.73492825,2
P1A5,DiHOME,P1A5-D1,7.8125,2
P1A5,DiHOME,P1A5-D2,6.271399125,2
P1A5,DiHOME,P1A5-D3,21.94924723,2
P1A5,DiHOME,P1A5-D4,63.08315295,2
P1A5,PBS,P1A5-P1,11.23095143,2
P1A5,PBS,P1A5-P2,20.35241003,2
P1A5,PBS,P1A5-P3,11.29460458,2
P1A5,PBS,P1A5-P4,26.94513908,2
P1A5,PBS,P1A5-P5,7.8125,2
