Assay,Infiltrate,Treatment,Group,Slice,Count,KS_Neutrophil.Score,SL_Neutrophil.Score,Avg_Neutrophil.Score
P1A3,Neutrophil,CRA,1-1L,HE 1-1L V1.tif,734,4,4,4
P1A3,Neutrophil,CRA,1-1L,HE 1-1L V2.tif,22,2,2,2
P1A3,Neutrophil,CRA,1-2L,HE 1-2L V1.tif,567,3,3,3
P1A3,Neutrophil,CRA,1-2L,HE 1-2L V2.tif,299,2,1,1.5
P1A3,Neutrophil,CRA,1-3L,HE 1-3L V1.tif,154,2,NA,2
P1A3,Neutrophil,CRA,1-3L,HE 1-3L V2.tif,150,2,NA,2
P1A3,Neutrophil,CRA,1-4L,HE 1-4L V1.tif,374,1,2,1.5
P1A3,Neutrophil,CRA,1-4L,HE 1-4L V2.tif,99,1,1,1
P1A3,Neutrophil,CRA,1-5L,HE 1-5L V1.tif,196,3,3,3
P1A3,Neutrophil,CRA,1-5L,HE 1-5L V2.tif,420,3,4,3.5
P1A3,Neutrophil,DiHOME,2-1L,HE 2-1L v1.tif,587,4,4,4
P1A3,Neutrophil,DiHOME,2-1L,HE 2-1L V2.tif,323,4,4,4
P1A3,Neutrophil,DiHOME,2-2L,HE 2-2L B1.tif,250,4,4,4
P1A3,Neutrophil,DiHOME,2-2L,HE 2-2L V2.tif,887,2,3,2.5
P1A3,Neutrophil,DiHOME,2-3L,HE 2-3L V1.tif,287,3,2,2.5
P1A3,Neutrophil,DiHOME,2-3L,HE 2-3L V2.tif,405,3,4,3.5
P1A3,Neutrophil,DiHOME,2-4L,HE 2-4L V1.tif,635,4,4,4
P1A3,Neutrophil,DiHOME,2-4L,HE 2-4L V2.tif,274,3,4,3.5
P1A3,Neutrophil,DiHOME,2-5L,HE 2-5L V1.tif,465,4,4,4
P1A3,Neutrophil,DiHOME,2-5L,HE 2-5L V2.tif,555,4,4,4
P1A2,Neutrophil,CRA,1-1L,1-1L-HE-B_Selection.png,407,1,1,1
P1A2,Neutrophil,CRA,1-1L,1-1L-HE_Vessel2-selection.tif,300,1,0,0.5
P1A2,Neutrophil,CRA,1-2L,1-2L-HE_Vessel1.tif,92,1,1,1
P1A2,Neutrophil,CRA,1-2L,1-2L-HE_Vessel2.tif,114,2,3,2.5
P1A2,Neutrophil,CRA,1-3L,1-3L-HE_Vessel1.tif,359,1,2,1.5
P1A2,Neutrophil,CRA,1-3L,1-3L-HE_Vessel2.tif,162,1,2,1.5
P1A2,Neutrophil,DiHOME,2-1L,2-1L-HE-A.PNG,425,4,3,3.5
P1A2,Neutrophil,DiHOME,2-1L,2-1L-HE-B.PNG,334,3,4,3.5
P1A2,Neutrophil,DiHOME,2-2L,2-2L-HE_Vessel1.tif,97,1,3,2
P1A2,Neutrophil,DiHOME,2-2L,2-2L-HE_Vessel2.tif,244,2,2,2
P1A2,Neutrophil,DiHOME,2-3L,2-3L-HE-C.PNG,476,4,4,4
P1A2,Neutrophil,DiHOME,2-3L,2-3L-HE_Vessel1.tif,417,4,4,4
P1A2,Neutrophil,DiHOME,2-4L,2-4L-HE_Vessel1.tif,161,2,2,2
P1A2,Neutrophil,DiHOME,2-4L,2-4L-HE_Vessel2.tif,331,3,3,3
P1A4,Neutrophil,PBS,1-1L,1L1 V1,50,0,0,0
P1A4,Neutrophil,PBS,1-1L,1L1 V2,34,1,1,1
P1A4,Neutrophil,PBS,1-2L,1L2 V1,36,2,1,1.5
P1A4,Neutrophil,PBS,1-2L,1L2 V2,149,2,1,1.5
P1A4,Neutrophil,PBS,1-3L,1L3 V1,87,2,3,2.5
P1A4,Neutrophil,PBS,1-3L,1L3 V2,184,1,2,1.5
P1A4,Neutrophil,PBS,1-4L,1L4 V1,55,0,0,0
P1A4,Neutrophil,PBS,1-4L,1L4 V2,54,1,1,1
P1A4,Neutrophil,PBS,1-5L,1L5 V1,97,1,1,1
P1A4,Neutrophil,PBS,1-5L,1L5 V2,18,0,1,0.5
P1A4,Neutrophil,CRA,2-1L,2L1 V1,34,1,1,1
P1A4,Neutrophil,CRA,2-1L,2L1 V2,91,2,1,1.5
P1A4,Neutrophil,CRA,2-2L,2L2 V1,42,2,2,2
P1A4,Neutrophil,CRA,2-2L,2L2 V2,60,4,3,3.5
P1A4,Neutrophil,CRA,2-3L,2L3 V1,113,3,3,3
P1A4,Neutrophil,CRA,2-3L,2L3 V2,122,1,0,0.5
P1A4,Neutrophil,CRA,2-4L,2L4 V1,165,4,3,3.5
P1A4,Neutrophil,CRA,2-4L,2L4 V2,49,3,3,3
P1A4,Neutrophil,CRA,2-5L,2L5 V1,135,1,2,1.5
P1A4,Neutrophil,CRA,2-5L,2L5 V2,207,3,4,3.5
P1A4,Neutrophil,DiHOME,3-1L,3L1 V1,1261,4,4,4
P1A4,Neutrophil,DiHOME,3-1L,3L1 V2,337,4,4,4
P1A4,Neutrophil,DiHOME,3-2L,3L2 V1,186,3,2,2.5
P1A4,Neutrophil,DiHOME,3-2L,3L2 V2,136,4,3,3.5
