Sample Name,Group,Assay,Target Name,Reporter,AverageCT,GAPDH,dCT,AverageControl,ddCT
4-D1,DiHOME,P1A4,GAPDH,SYBR,21.67800013,21.67800013,0,0,0
4-D2,DiHOME,P1A4,GAPDH,SYBR,20.37766711,20.37766711,0,0,0
4-D3,DiHOME,P1A4,GAPDH,SYBR,21.37933286,21.37933286,0,0,0
4-D4,DiHOME,P1A4,GAPDH,SYBR,23.16499964,23.16499964,0,0,0
4-D5,DiHOME,P1A4,GAPDH,SYBR,20.67466672,20.67466672,0,0,0
4-P1,PBS,P1A4,GAPDH,SYBR,21.58366648,21.58366648,0,0,0
4-P2,PBS,P1A4,GAPDH,SYBR,23.66899999,23.66899999,0,0,0
4-P3,PBS,P1A4,GAPDH,SYBR,21.08850002,21.08850002,0,0,0
4-P4,PBS,P1A4,GAPDH,SYBR,21.43400002,21.43400002,0,0,0
4-P5,PBS,P1A4,GAPDH,SYBR,20.66500028,20.66500028,0,0,0
4-V1,CRA,P1A4,GAPDH,SYBR,20.701334,20.701334,0,0,0
4-V2,CRA,P1A4,GAPDH,SYBR,20.70600001,20.70600001,0,0,0
4-V3,CRA,P1A4,GAPDH,SYBR,20.10500018,20.10500018,0,0,0
4-V4,CRA,P1A4,GAPDH,SYBR,21.48099963,21.48099963,0,0,0
4-V5,CRA,P1A4,GAPDH,SYBR,22.60866674,22.60866674,0,0,0
4-D1,DiHOME,P1A4,IL1a,SYBR,26.71500015,21.67800013,5.03700002,7.127633603,-2.090633583
4-D2,DiHOME,P1A4,IL1a,SYBR,26.6135006,20.37766711,6.23583349,7.127633603,-0.891800113
4-D3,DiHOME,P1A4,IL1a,SYBR,27.12150002,21.37933286,5.74216716,7.127633603,-1.385466443
4-D4,DiHOME,P1A4,IL1a,SYBR,29.42500019,23.16499964,6.26000055,7.127633603,-0.867633053
4-D5,DiHOME,P1A4,IL1a,SYBR,26.86100006,20.67466672,6.18633334,7.127633603,-0.941300263
4-P1,PBS,P1A4,IL1a,SYBR,27.5516669,21.58366648,5.96800042,7.127633603,-1.159633183
4-P2,PBS,P1A4,IL1a,SYBR,30.93433317,23.66899999,7.26533318,7.127633603,0.137699577
4-P3,PBS,P1A4,IL1a,SYBR,27.82000033,21.08850002,6.73150031,7.127633603,-0.396133293
4-P4,PBS,P1A4,IL1a,SYBR,29.48133405,21.43400002,8.04733403,7.127633603,0.919700432
4-P5,PBS,P1A4,IL1a,SYBR,28.29100037,20.66500028,7.62600009,7.127633603,0.498366483
4-V2,CRA,P1A4,IL1a,SYBR,28.1773332,20.70600001,7.47133319,7.127633603,0.343699582
4-V3,CRA,P1A4,IL1a,SYBR,27.75066694,20.10500018,7.64566676,7.127633603,0.518033155
4-V4,CRA,P1A4,IL1a,SYBR,29.7506663,21.48099963,8.26966667,7.127633603,1.142033068
4-V5,CRA,P1A4,IL1a,SYBR,28.70600001,22.60866674,6.09733327,7.127633603,-1.030300331
4-D1,DiHOME,P1A4,IL1b,SYBR,25.24750042,21.67800013,3.56950029,6.025366656,-2.455866369
4-D2,DiHOME,P1A4,IL1b,SYBR,27.56099987,20.37766711,7.18333276,6.025366656,1.157966105
4-D3,DiHOME,P1A4,IL1b,SYBR,25.7045002,21.37933286,4.32516734,6.025366656,-1.700199318
4-D4,DiHOME,P1A4,IL1b,SYBR,26.74499989,23.16499964,3.58000025,6.025366656,-2.445366414
4-D5,DiHOME,P1A4,IL1b,SYBR,25.10599995,20.67466672,4.43133323,6.025366656,-1.594033432
4-P1,PBS,P1A4,IL1b,SYBR,26.30200005,21.58366648,4.71833357,6.025366656,-1.307033094
4-P2,PBS,P1A4,IL1b,SYBR,30.85766665,23.66899999,7.18866666,6.025366656,1.163300006
4-P3,PBS,P1A4,IL1b,SYBR,25.79966672,21.08850002,4.7111667,6.025366656,-1.314199956
4-P4,PBS,P1A4,IL1b,SYBR,28.39366722,21.43400002,6.9596672,6.025366656,0.93430055
4-P5,PBS,P1A4,IL1b,SYBR,27.21399943,20.66500028,6.548999151,6.025366656,0.523632495
4-V2,CRA,P1A4,IL1b,SYBR,27.9703331,20.70600001,7.264333089,6.025366656,1.238966433
4-V3,CRA,P1A4,IL1b,SYBR,26.86600049,20.10500018,6.761000315,6.025366656,0.735633659
4-V4,CRA,P1A4,IL1b,SYBR,28.84899966,21.48099963,7.368000031,6.025366656,1.342633375
4-V5,CRA,P1A4,IL1b,SYBR,27.90699959,22.60866674,5.29833285,6.025366656,-0.727033806
4-D1,DiHOME,P1A4,TNF,SYBR,30.83150005,21.67800013,9.153499921,9.544566345,-0.391066424
4-D2,DiHOME,P1A4,TNF,SYBR,30.84749985,20.37766711,10.46983274,9.544566345,0.925266393
4-D3,DiHOME,P1A4,TNF,SYBR,30.28299999,21.37933286,8.903667132,9.544566345,-0.640899213
4-D4,DiHOME,P1A4,TNF,SYBR,32.49199963,23.16499964,9.326999982,9.544566345,-0.217566363
4-D5,DiHOME,P1A4,TNF,SYBR,29.89350033,20.67466672,9.218833605,9.544566345,-0.32573274
4-P1,PBS,P1A4,TNF,SYBR,30.6983331,21.58366648,9.114666621,9.544566345,-0.429899724
4-P2,PBS,P1A4,TNF,SYBR,33.89266586,23.66899999,10.22366587,9.544566345,0.679099528
4-P3,PBS,P1A4,TNF,SYBR,29.96700001,21.08850002,8.878499985,9.544566345,-0.66606636
4-P4,PBS,P1A4,TNF,SYBR,31.3239994,21.43400002,9.88999939,9.544566345,0.345433044
4-P5,PBS,P1A4,TNF,SYBR,30.28100014,20.66500028,9.615999858,9.544566345,0.071433512
4-V2,CRA,P1A4,TNF,SYBR,31.62700017,20.70600001,10.92100016,9.544566345,1.376433818
4-V3,CRA,P1A4,TNF,SYBR,30.91366704,20.10500018,10.80866687,9.544566345,1.26410052
4-V4,CRA,P1A4,TNF,SYBR,31.81599935,21.48099963,10.33499972,9.544566345,0.790433375
