Treatment,Condition,Donor,Assay,Live,mDC,CCR7,CD36,CD80,CD1a
DMSO,Control - 1.6%,D15,Control,35.4,10.9,1.9,68.2,0.79,2.11
DMSO,Control - 1.6%,D15,Control,34.6,6.06,6.47,38.9,1.8,2.09
DMSO,Control - 1.6%,D15,Control,34.2,16.3,7.05,62.6,1.52,2.12
DiHOME-75,"75 uM 12,13-DiHOME",D15,Assay,33,6.21,2.44,31.4,0.8,0.033
DiHOME-75,"75 uM 12,13-DiHOME",D15,Assay,32,8.08,0.17,26,0.38,0.044
DiHOME-75,"75 uM 12,13-DiHOME",D15,Assay,32.8,10.3,0.18,32.6,0.44,0.019
DiHOME-130,"130 uM 12,13-diHOME",D15,Assay,29.4,8.25,6.45,25.1,1.52,0.018
DiHOME-130,"130 uM 12,13-diHOME",D15,Assay,41.4,11.4,0.35,41.3,0.49,0.033
DiHOME-130,"130 uM 12,13-diHOME",D15,Assay,36.8,8.48,0.11,25.2,0.16,0.021
DiHOME-200,"200 uM 12,13-diHOME",D15,Assay,38.2,8.6,0.1,51.3,0.13,0.046
DiHOME-200,"200 uM 12,13-diHOME",D15,Assay,37,10.7,0,58.8,0.19,0.071
DiHOME-200,"200 uM 12,13-diHOME",D15,Assay,39.8,11.2,0.034,67.5,0.18,0.02
DMSO,Control - 1.6%,D17,Control,31.5,9.3,4.39,14.9,3.2,0.13
DMSO,Control - 1.6%,D17,Control,37,14.7,11.3,16.2,4.73,0.21
DMSO,Control - 1.6%,D17,Control,37.1,13.2,15.2,11.2,5.81,0.21
DiHOME-75,"75 uM 12,13-DiHOME",D17,Assay,32.5,10,0.27,8.94,0.9,0.017
DiHOME-75,"75 uM 12,13-DiHOME",D17,Assay,35.2,10.9,0.96,11.8,1.71,0.00656
DiHOME-75,"75 uM 12,13-DiHOME",D17,Assay,31.8,17.5,0.5,15.5,1.89,0
DiHOME-130,"130 uM 12,13-diHOME",D17,Assay,40.9,26.4,0.64,18.4,1.59,0.031
DiHOME-130,"130 uM 12,13-diHOME",D17,Assay,36.6,31.8,0.36,22.7,1.88,0.011
DiHOME-130,"130 uM 12,13-diHOME",D17,Assay,35.5,30,0.13,27,2.32,0.00812
DiHOME-200,"200 uM 12,13-diHOME",D17,Assay,36.5,34.8,0.083,29.2,1.85,8.82E-03
DiHOME-200,"200 uM 12,13-diHOME",D17,Assay,36.3,31.7,0.14,33.4,2.28,2.90E-02
DiHOME-200,"200 uM 12,13-diHOME",D17,Assay,42.8,33.6,0.2,31.7,2.22,7.16E-03
DMSO,,D24,DL_C01,59.8,9.14,2.12,59.6,52.5,22.1
DiHOME-75,,D24,DL_C02,58.4,4.02,2.83,69.2,2.43,3.24
DiHOME-130,,D24,DL_C03,57.4,2.69,3.36,58.4,2.01,1.34
DiHOME-200,,D24,DL_C04,45.8,3.35,0,63.5,5.88,0
DMSO,,D24,DL_C05,51.1,7.37,3.95,59.5,49.1,22.7
DiHOME-75,,D24,DL_C06,58.2,4.62,1.56,66,1.56,4.3
DiHOME-130,,D24,DL_C07,50.3,3.03,1.27,63.1,0,0.64
DiHOME-200,,D24,DL_C08,43.5,3.49,0.93,62.6,0.93,0
DMSO,,D24,DL_C09,52.9,8.97,2.73,58.1,55.1,22.1
DiHOME-75,,D24,DL_C10,48.2,4.66,3.31,64.8,1.2,2.71
DiHOME-130,,D24,DL_C11,51.8,2.78,0.62,62.5,0.62,1.88
DiHOME-200,,D24,DL_C12,35.4,3.79,0.83,70,0,0.83
DMSO,,D26,DL_D01,66.4,4.23,3.69,24.9,41.7,26.8
DiHOME-75,,D26,DL_D02,62.7,2.55,1.02,17,0,0.34
DiHOME-130,,D26,DL_D03,45.5,1.72,0,2.59,0,0
DiHOME-200,,D26,DL_D04,23.5,1.97,0,5.66,0,0
DMSO,,D26,DL_D05,64.2,2.42,3.24,20.7,30.4,22.7
DiHOME-75,,D26,DL_D06,61.5,1.46,3.03,9.7,0,0.61
DiHOME-130,,D26,DL_D07,50.8,1.66,0,3.85,0,0
DiHOME-200,,D26,DL_D08,24.8,2.59,1.35,9.46,1.35,0
DMSO,,D26,DL_D09,70.7,4.26,4.25,28.6,41.6,30.2
DiHOME-75,,D26,DL_D10,68.3,1.39,3.45,6.21,2.07,0
DiHOME-130,,D26,DL_D11,51.5,1.83,0,0.72,0,0
DiHOME-200,,D26,DL_D12,27.8,1.58,0,11.1,0,0
