Treatment,Well,Donor,Run,Sample Name      ,Final CC         ,Unit
DMSO,Control - 1.6%,D14,1,Test013          ,7.948932129,pg/mL
DMSO,Control - 1.6%,D14,1,Test014          ,9.029116541,pg/mL
DMSO,Control - 1.6%,D14,1,Test015          ,7.287810079,pg/mL
DiHOME-75,"75 uM 12,13-DiHOME",D14,1,Test016          ,6.612857816,pg/mL
DiHOME-75,"75 uM 12,13-DiHOME",D14,1,Test017          ,5.71894443,pg/mL
DiHOME-75,"75 uM 12,13-DiHOME",D14,1,Test018          ,5.166000238,pg/mL
DiHOME-130,"130 uM 12,13-diHOME",D14,1,Test019          ,2.859786653,pg/mL
DiHOME-130,"130 uM 12,13-diHOME",D14,1,Test020          ,1.839728857,pg/mL
DiHOME-130,"130 uM 12,13-diHOME",D14,1,Test021          ,2.992982984,pg/mL
DiHOME-200,"200 uM 12,13-diHOME",D14,1,Test022          ,1.948521439,pg/mL
DiHOME-200,"200 uM 12,13-diHOME",D14,1,Test023          ,1.517472318,pg/mL
DiHOME-200,"200 uM 12,13-diHOME",D14,1,Test024          ,1.358807252,pg/mL
DMSO,Control - 1.6%,D17,1,Test037          ,2.916785515,pg/mL
DMSO,Control - 1.6%,D17,1,Test038          ,3.708016684,pg/mL
DMSO,Control - 1.6%,D17,1,Test039          ,2.878771904,pg/mL
DiHOME-75,"75 uM 12,13-DiHOME",D17,1,Test040          ,3.319286077,pg/mL
DiHOME-75,"75 uM 12,13-DiHOME",D17,1,Test041          ,2.003163427,pg/mL
DiHOME-75,"75 uM 12,13-DiHOME",D17,1,Test042          ,1.53520627,pg/mL
DiHOME-130,"130 uM 12,13-diHOME",D17,1,Test043          ,0.659913386,pg/mL
DiHOME-130,"130 uM 12,13-diHOME",D17,1,Test044          ,0.709575361,pg/mL
DiHOME-130,"130 uM 12,13-diHOME",D17,1,Test045          ,0.944587386,pg/mL
DiHOME-200,"200 uM 12,13-diHOME",D17,1,Test046          ,0.742824221,pg/mL
DiHOME-200,"200 uM 12,13-diHOME",D17,1,Test047          ,0.692993118,pg/mL
DiHOME-200,"200 uM 12,13-diHOME",D17,1,Test048          ,0.676438974,pg/mL
DMSO,Control - 1.6%,D25,2,DL_C01,22.60315459,pg/mL
DMSO,Control - 1.6%,D25,2,DL_C02,14.92137821,pg/mL
DMSO,Control - 1.6%,D25,2,DL_C03,16.09498675,pg/mL
DiHOME-75,"75 uM 12,13-DiHOME",D25,2,DL_C04,10.91965479,pg/mL
DiHOME-75,"75 uM 12,13-DiHOME",D25,2,DL_C05,7.538142494,pg/mL
DiHOME-75,"75 uM 12,13-DiHOME",D25,2,DL_C06,6.419767225,pg/mL
DiHOME-130,"130 uM 12,13-diHOME",D25,2,DL_C07,2.517719244,pg/mL
DiHOME-130,"130 uM 12,13-diHOME",D25,2,DL_C08,2.929933212,pg/mL
DiHOME-130,"130 uM 12,13-diHOME",D25,2,DL_C09,2.121834073,pg/mL
DiHOME-200,"200 uM 12,13-diHOME",D25,2,DL_C10,1.834843735,pg/mL
DiHOME-200,"200 uM 12,13-diHOME",D25,2,DL_C11,1.373355876,pg/mL
DiHOME-200,"200 uM 12,13-diHOME",D25,2,DL_C12,1.834843735,pg/mL
