"Well","Group","Chem","Dose","Treatment","Fluorescence","Flum","Rlum","Background.Fluor","Background.Flum","Background.Rlum","CorrFluor","CorrFlum","CorrRlum","ExperimentalR","PositiveR","NegativeR","RRR","Flum.Live","FLumLive.R","Flum.R","Ratio.NoTF","FlumL.NoTF","Assay"
"10","Control","NoPPAR",0,"100 uM Rosi",37662,515,1801,377.6666667,778.6666667,878.1666667,37284.33333,-263.6666667,922.8333333,-0.007071782,0.180833419,0.011744853,-0.111282715,0.013674261,0.048525238,0.285952249,2.288511349,7.27e-06,"18"
"69","Control","NoPPAR",0,"10 uM 1929",47701,923,475,377.6666667,778.6666667,878.1666667,47323.33333,144.3333333,-403.1666667,0.00304994,0.180833419,0.011744853,-0.05142224,0.019349699,0.068665411,1.943157895,15.55133388,1.03e-05,"18"
"11","Control","NoPPAR",0,"100 uM Rosi",34573,780,705,377.6666667,778.6666667,878.1666667,34195.33333,1.333333333,-173.1666667,3.89917e-05,0.180833419,0.011744853,-0.069229171,0.022560958,0.080061062,1.106382979,8.85452034,1.2e-05,"18"
"7","Control","NoPPAR",0,"200 uM  DiHOME",12408,343,498,377.6666667,778.6666667,878.1666667,12030.33333,-435.6666667,-380.1666667,-0.036214015,0.180833419,0.011744853,-0.283631642,0.027643456,0.098097095,0.68875502,5.512191937,1.47e-05,"18"
"12","Control","NoPPAR",0,"100 uM Rosi",33361,1065,1005,377.6666667,778.6666667,878.1666667,32983.33333,286.3333333,126.8333333,0.008681152,0.180833419,0.011744853,-0.018118912,0.031923503,0.113285507,1.059701493,8.48092261,1.7e-05,"18"
"72","Control","NoPPAR",0,"100 uM 9662",29835,970,840,377.6666667,778.6666667,878.1666667,29457.33333,191.3333333,-38.16666667,0.00649527,0.180833419,0.011744853,-0.031046351,0.03251215,0.115374412,1.154761905,9.241702891,1.73e-05,"18"
"67","Control","NoPPAR",0,"10 uM 1929",28407,950,823,377.6666667,778.6666667,878.1666667,28029.33333,171.3333333,-55.16666667,0.006112644,0.180833419,0.011744853,-0.033309225,0.033442461,0.118675765,1.154313487,9.23811415,1.78e-05,"18"
"8","Control","NoPPAR",0,"200 uM  DiHOME",16048,564,1432,377.6666667,778.6666667,878.1666667,15670.33333,-214.6666667,553.8333333,-0.013698922,0.180833419,0.011744853,-0.15047602,0.035144566,0.124715949,0.393854749,3.152068451,1.87e-05,"18"
"68","Control","NoPPAR",0,"10 uM 1929",46042,1729,1526,377.6666667,778.6666667,878.1666667,45664.33333,950.3333333,647.8333333,0.020811282,0.180833419,0.011744853,0.053619412,0.037552669,0.133261476,1.133027523,9.067759935,2e-05,"18"
"71","Control","NoPPAR",0,"100 uM 9662",24139,1043,600,377.6666667,778.6666667,878.1666667,23761.33333,264.3333333,-278.1666667,0.011124516,0.180833419,0.011744853,-0.00366871,0.043208086,0.153330601,1.738333333,13.91209749,2.3e-05,"18"
"9","Control","NoPPAR",0,"200 uM  DiHOME",19394,949,503,377.6666667,778.6666667,878.1666667,19016.33333,170.3333333,-375.1666667,0.008957212,0.180833419,0.011744853,-0.016486276,0.04893266,0.173645141,1.88667992,15.09933364,2.6e-05,"18"
"70","Control","NoPPAR",0,"100 uM 9662",30744,1549,460,377.6666667,778.6666667,878.1666667,30366.33333,770.3333333,-418.1666667,0.025368006,0.180833419,0.011744853,0.080568152,0.050383815,0.17879479,3.367391304,26.94965068,2.68e-05,"18"
"5","Control","NoTF",0,"NoTF",32176,157,534,377.6666667,778.6666667,878.1666667,31798.33333,-621.6666667,-344.1666667,-0.019550291,0.180833419,0.011744853,-0.185081372,0.004879413,0.017315355,0.294007491,2.35297845,2.59e-06,"18"
"63","Control","NoTF",0,"NoTF",50914,423,714,377.6666667,778.6666667,878.1666667,50536.33333,-355.6666667,-164.1666667,-0.007037841,0.180833419,0.011744853,-0.111081986,0.008308127,0.029482679,0.592436975,4.741346662,4.42e-06,"18"
"66","Control","NoTF",0,"NoTF",60536,549,1024,377.6666667,778.6666667,878.1666667,60158.33333,-229.6666667,145.8333333,-0.003817703,0.180833419,0.011744853,-0.092037898,0.009068984,0.032182698,0.536132813,4.290737461,4.82e-06,"18"
