Donor,Well,Treatment,Sample,Live,LiveCount,CD4,CD4Count,Th1,Th1Count,Th2,Th2Count,Th17,Th17Count,Treg,TregCount
D12,Control - 130 uM,Control-130,Donor12_B_004_006.fcs,64.1,65724,65.8,43264,31.3,13543,2.36,1019,0.6,260,1.77,765
D12,Control - 130 uM,Control-130,Donor12_B_005_007.fcs,59.2,46048,66.8,30743,30.6,9406,2.49,766,0.57,175,1.68,515
D12,Control - 130 uM,Control-130,Donor12_B_006_008.fcs,63.8,49934,66.5,33217,30.3,10078,2.66,883,0.58,194,1.36,452
D12,"130 uM 12,13-diHOME",DiHOME-130,Donor12_B_013_015.fcs,72.2,62181,66.1,41090,30,12307,2.13,875,0.52,212,0.8,330
D12,"130 uM 12,13-diHOME",DiHOME-130,Donor12_B_014_016.fcs,75.3,80509,65.1,52434,31.6,16564,2.36,1237,0.58,304,1.06,554
D12,"130 uM 12,13-diHOME",DiHOME-130,Donor12_B_015_017.fcs,76.9,108163,64.3,69588,28.6,19907,2.05,1425,0.58,406,0.82,573
D13,Control - 130 uM,Control-130,Donor13_B_004_032.fcs,75.4,258734,48.9,126580,7.47,9452,0.7,887,0.82,1035,1.04,1317
D13,Control - 130 uM,Control-130,Donor13_B_005_033.fcs,71.9,172630,46.6,80398,8.25,6635,0.8,643,0.79,632,0.97,782
D13,Control - 130 uM,Control-130,Donor13_B_006_034.fcs,64,62816,45.6,28635,8.99,2574,0.93,266,0.71,204,1.07,305
D13,"130 uM 12,13-diHOME",DiHOME-130,Donor13_B_013_041.fcs,75.1,226671,50.6,114617,9.69,11103,0.79,900,0.86,990,0.66,762
D13,"130 uM 12,13-diHOME",DiHOME-130,Donor13_B_014_042.fcs,69.4,79297,50,39637,13.6,5409,1.18,467,0.94,374,0.83,330
D13,"130 uM 12,13-diHOME",DiHOME-130,Donor13_B_015_043.fcs,68.5,57269,50.7,29035,11.9,3456,1.09,317,0.64,185,0.63,183
D25,Control - 130 uM,Control-130,DL_C01,66.8,82619,70.9,53239,11,309,2.09,59,0.39,11,3.41,1815
D25,"130 uM 12,13-diHOME",DiHOME-130,DL_C02,67.8,53319,73,36260,8.96,139,1.29,20,0.64,10,2.22,806
D25,Control - 130 uM,Control-130,DL_C03,66,88804,70.4,56432,,,,,,,3.27,1848
D25,"130 uM 12,13-diHOME",DiHOME-130,DL_C04,70.2,82307,69.5,53258,8.33,129,1.1,17,0.26,4,2.38,1267
D25,Control - 130 uM,Control-130,DL_C05,70.2,69486,70.7,44946,9.9,269,1.58,43,0.7,19,3.25,1462
D25,"130 uM 12,13-diHOME",DiHOME-130,DL_C06,66.9,78236,70,50889,,,,,,,2.36,1200
D26,Control - 130 uM,Control-130,DL_D01,81,155843,70.2,96293,22.5,345,4.04,62,0.72,11,3.19,3071
D26,"130 uM 12,13-diHOME",DiHOME-130,DL_D02,89.6,123183,70.8,78957,24.1,223,3.03,28,0.22,2,2.07,1634
D26,Control - 130 uM,Control-130,DL_D03,81.6,144332,69.9,88505,,,,,,,3.25,2872
D26,"130 uM 12,13-diHOME",DiHOME-130,DL_D04,91.4,108166,70.9,69987,17.2,169,2.34,23,0.41,4,1.82,1273
D26,Control - 130 uM,Control-130,DL_D05,89.6,98622,72.4,62429,19.9,141,3.95,28,0.42,3,3.27,2039
D26,"130 uM 12,13-diHOME",DiHOME-130,DL_D06,91.3,78749,71.1,51247,19.2,102,1.88,10,0.38,2,1.88,963
