Assay,Donor,Treatment,Well,Well.Position,Sample.Name,Replicate,Target.Name,Reporter,CT,CT2,CT3,AverageCT,GAPDH,dCT,Average.Control,ddCT
P1H2-1,D21,Vehicle,1,A1,D21-C1,R1,CD36,SYBR,32.89899826,33.86299896,32.12900162,32.96366628,23.91666667,9.046999613,9.122000058,-0.075000445
P1H2-1,D21,Vehicle,2,A2,D21-C2,R1,CD36,SYBR,32.34999847,34.59400177,32.26800156,33.07066727,23.87366676,9.197000504,9.122000058,0.075000445
P1H2-1,D21,DiHOME,3,A3,D21-D1,R1,CD36,SYBR,30.95899963,31.11599922,30.92099953,30.99866613,26.37166659,4.626999537,9.122000058,-4.495000521
P1H2-1,D21,DiHOME,4,A4,D21-D2,R1,CD36,SYBR,30.3920002,29.98399925,30.26099968,30.21233304,26.86333338,3.348999659,9.122000058,-5.773000399
P1H2-1,D21,DiHOME,5,A5,D21-D3,R1,CD36,SYBR,32.30699921,33.04899979,32.75999832,32.70533244,28.83166631,3.873666128,9.122000058,-5.248333931
P3D2,D18,DiHOME,103,E7,D1-2,R1,CD36,SYBR,22.96699905,23.00900078,31.20899963,25.72833316,NA,3.812332789,NA,-6.898000293
P3D2,D18,DiHOME,127,F7,D1-3,R1,CD36,SYBR,22.20899963,22.34000015,30.34799957,24.96566645,NA,3.729999542,NA,-6.98033354
P3D2,D18,Vehicle,7,A7,U1-1,R1,CD36,SYBR,28.69199944,38,38,34.89733315,NA,11.14433289,NA,0.433999803
P3D2,D18,Vehicle,31,B7,U1-2,R1,CD36,SYBR,28.27599907,38,38,34.75866636,NA,10.26566696,NA,-0.444666121
P3D2,D18,Vehicle,55,C7,U1-3,R1,CD36,SYBR,28.39900017,38,38,34.79966672,NA,10.7209994,NA,0.010666317
P1H1-Pilot,D21,Vehicle,25,B1,C3,R1,CD1a,SYBR,34.872,33.049,NA,33.961,33.972,-0.012,-2.257,2.246
P1H1-Pilot,D21,Vehicle,26,B2,C4,R1,CD1a,SYBR,34.801,29.588,NA,32.194,36.698,-4.503,-2.257,-2.246
P1H1-Pilot,D21,DiHOME,27,B3,D1,R1,CD1a,SYBR,39.342,NA,NA,39.342,35.727,3.615,-2.257,5.873
P1H1-Pilot,D21,DiHOME,28,B4,D3,R1,CD1a,SYBR,39.338,38,NA,38.669,35.25,3.419,-2.257,5.677
P1H1-Pilot,D21,DiHOME,29,B5,D4,R1,CD1a,SYBR,40,38,NA,39,38,1,-2.257,3.257
P3D2,D18,DiHOME,85,D13,D1-1,R1,CD1a,SYBR,35.43199921,40,36.52500153,37.31900024,NA,15.89633369,NA,4.566111671
P3D2,D18,DiHOME,109,E13,D1-2,R1,CD1a,SYBR,40,34.64500046,40,38.21500015,NA,16.29899979,NA,4.968777763
P3D2,D18,DiHOME,133,F13,D1-3,R1,CD1a,SYBR,40,40,34.9659996,38.32199987,NA,17.08633296,NA,5.756110933
P3D2,D18,Vehicle,13,A13,U1-1,R1,CD1a,SYBR,28.99600029,34.14099884,40,34.37899971,NA,10.62599945,NA,-0.704222573
P3D2,D18,Vehicle,37,B13,U1-2,R1,CD1a,SYBR,28.22800064,38.96500015,40,35.73100026,NA,11.23800087,NA,-0.092221154
P3D2,D18,Vehicle,61,C13,U1-3,R1,CD1a,SYBR,28.61599922,40,40,36.20533307,NA,12.12666575,NA,0.796443727
P1H2-2,D21,Vehicle,10,A10,D21-C1,R1,HADH,SYBR,31.29700089,31.5720005,31.63800049,31.50233396,23.91666667,7.585667292,7.360000292,0.225667
P1H2-2,D21,Vehicle,34,B10,D21-C2,R1,HADH,SYBR,31.27499962,30.86300087,30.88599968,31.00800006,23.87366676,7.134333293,7.360000292,-0.225667
P1H2-2,D21,DiHOME,58,C10,D21-D1,R1,HADH,SYBR,32.12400055,32.42900085,32.06499863,32.20600001,26.37166659,5.83433342,7.360000292,-1.525666873
P1H2-2,D21,DiHOME,82,D10,D21-D2,R1,HADH,SYBR,32.13800049,32.34999847,32.30500031,32.26433309,26.86333338,5.400999705,7.360000292,-1.959000587
P1H2-2,D21,DiHOME,106,E10,D21-D3,R1,HADH,SYBR,33.75299835,35.0890007,35.00299835,34.61499914,28.83166631,5.783332825,7.360000292,-1.576667468
P3D3-1,D18,DiHOME,79,D7,D1-1,R1,HADH,SYBR,30.249,29.86100006,29.216,29.775,21.94,7.836999893,8.417555279,-0.580555386
