No,Exposure,Treatment,Treg,Live
1,IBDA2,No treat,1.17,78.4
2,IBDA2,No treat,1.39,76.6
3,IBDA2,No treat,2.44,77.7
4,IBDA2,"9,10 DiHOME- 50 uM",1.76,73.1
5,IBDA2,"9,10 DiHOME- 50 uM",1.51,70.8
6,IBDA2,"9,10 DiHOME- 50 uM",1.94,74.8
7,IBDA2,"12,13 epOME - 50 uM",1.5,75.6
8,IBDA2,"12,13 epOME - 50 uM",1.64,77.1
9,IBDA2,"12,13 epOME - 50 uM",1.37,74
10,IBDA2,"9,10 DiHOME + 12,13 epOME",1.68,79.3
11,IBDA2,"9,10 DiHOME + 12,13 epOME",1.17,75.2
12,IBDA2,"9,10 DiHOME + 12,13 epOME",1.18,73.7
13,IBDA2,9-HODE-100uM,1.31,80.8
14,IBDA2,9-HODE-100uM,1.62,78.4
15,IBDA2,9-HODE-100uM,1.92,78.5
16,IBDA2,13-HODE-100 uM,1.86,73.3
17,IBDA2,13-HODE-100 uM,1.91,74.7
18,IBDA2,13-HODE-100 uM,1.88,75.7
19,IBDA2,9-HODE + 13-HODE,2.11,76.6
20,IBDA2,9-HODE + 13-HODE,2.04,78
21,IBDA2,9-HODE + 13-HODE,1.65,75.2
,,,,
