,1213DiHOME,910DiHOME,Glycidol
G3,0.055581721,0.017175111,0.045293177
G4,-0.018565165,0.017386478,0.02982904
G5,-0.022435155,0.008951686,0.021920658
G6,-0.031297827,-0.050363747,0.028398801
G7,-0.056627575,-0.127575413,0.01468533
G8,-0.053359488,-0.128013902,0.022846107
G9,-0.054817739,-0.15235066,0.031427543
G10,-0.028746307,-0.121620674,0.03672784
G11,-0.011089025,-0.129718763,0.031006884
G12,0.020353682,-0.097132346,0.049095203
G13,0.04256961,-0.017156344,0.042196402
pH3C,0.007117682,0.008181177,-0.029820349
Hhe,0.003199314,0.035577894,0.033446703
