Assay,Group,Tissue,SampleID,Volume.uL,Resuspended.uL,Injection.uL,D4added.ngmL,CUDAadded.ngmL,1213.ngmL,910.ngmL,D4.ngmL,CUDA.ngmL,D4.ng,D4.Ratio,CUDA.ng,CUDA.Ratio,1213.ngmL.Corr,910.ngmL.Corr,1213.ng,1213.ngmL,910.ng,910.ngmL
A2P4B1,PBS,Serum_D22,Cage1-1,100.00,100,5,0,5,12.1,3.16,0,1.97,,,0.00985,0.394,,,,,,
A2P4B1,PBS,Serum_D22,Cage1-2,150.00,100,5,0,5,10.8,3.36,0,1.79,,,0.00895,0.358,,,,,,
A2P4B1,PBS,Serum_D22,Cage1-3,150.00,100,5,0,5,17.5,3.96,0,1.9,,,0.0095,0.38,,,,,,
A2P4B1,PBS,Serum_D22,Cage1-4,150.00,100,5,0,5,22,1.63,0,2.11,,,0.01055,0.422,,,,,,
A2P4B1,3EH_PBS,Serum_D22,Cage2-1,100.00,100,5,0,5,11.8,2.1,0,1.99,,,0.00995,0.398,,,,,,
A2P4B1,3EH_PBS,Serum_D22,Cage2-2,100.00,100,5,0,5,12.3,1,0,2.14,,,0.0107,0.428,,,,,,
A2P4B1,3EH_PBS,Serum_D22,Cage2-3,100.00,100,5,0,5,14.9,2.7,0,2.07,,,0.01035,0.414,,,,,,
A2P4B1,3EH_PBS,Serum_D22,Cage2-4,150.00,100,5,0,5,11.4,3.03,0,2.19,,,0.01095,0.438,,,,,,
A2P4B1,3EH_PBS,Serum_D22,Cage2-5,100.00,100,5,0,5,11.1,1.34,0,1.83,,,0.00915,0.366,,,,,,
A2P4B1,CRA,Serum_D22,Cage3-1,100.00,100,5,12.5,5,9.82,2.43,0,1.6,,,0.008,0.32,,,,,,
A2P4B1,CRA,Serum_D22,Cage3-2,150.00,100,5,12.5,5,7.52,1.32,3.43,1.34,0.01715,0.2744,0.0067,0.268,102.2583874,17.94961055,10.22583874,68.17225824,1.794961055,11.96640703
A2P4B1,CRA,Serum_D22,Cage3-3,150.00,100,5,12.5,5,11,3.26,3.66,1.84,0.0183,0.2928,0.0092,0.368,102.0877881,30.2551081,10.20877881,68.05852538,3.02551081,20.17007207
A2P4B1,CRA,Serum_D22,Cage3-4,150.00,100,5,12.5,5,13,3.81,3.88,1.82,0.0194,0.3104,0.0091,0.364,115.0589102,33.72111136,11.50589102,76.70594011,3.372111136,22.48074091
A2P4B1,CRA,Serum_D22,Cage3-5,100.00,100,5,12.5,5,6.28,2.42,3.85,1.85,0.01925,0.308,0.00925,0.37,55.10705511,21.23552124,5.510705511,55.10705511,2.123552124,21.23552124
A2P4B1,3EH_CRA,Serum_D22,Cage4-1,150.00,100,5,12.5,5,13.1,3.88,3.82,2.1,0.0191,0.3056,0.0105,0.42,102.0630765,30.22936923,10.20630765,68.04205103,3.022936923,20.15291282
A2P4B1,3EH_CRA,Serum_D22,Cage4-2,150.00,100,5,12.5,5,15.9,3.7,3.8,1.94,0.019,0.304,0.0097,0.388,134.8005969,31.36869235,13.48005969,89.86706457,3.136869235,20.91246157
A2P4B1,3EH_CRA,Serum_D22,Cage4-3,75.00,100,5,12.5,5,7.72,2.06,3.34,1.69,0.0167,0.2672,0.00845,0.338,85.47992772,22.80941076,8.547992772,113.973237,2.280941076,30.41254769
A2P4B1,3EH_CRA,Serum_D22,Cage4-4,100.00,100,5,12.5,5,15.1,3.81,3.21,1.39,0.01605,0.2568,0.00695,0.278,211.5130326,53.36852014,21.15130326,211.5130326,5.336852014,53.36852014
A2P4B1,3EH_CRA,Serum_D22,Cage4-5,100.00,100,5,12.5,5,5.43,0.701,3.25,1.28,0.01625,0.26,0.0064,0.256,81.58052885,10.53185096,8.158052885,81.58052885,1.053185096,10.53185096
A2P4B2,PBS,Serum_D22,Cage1-1,150.00,100,5,12.5,5,9.91,4.58,7.08,1.7,0.0354,0.5664,0.0085,0.34,51.46020273,23.78281821,5.146020273,34.30680182,2.378281821,15.85521214
A2P4B2,PBS,Serum_D22,Cage1-2,100.00,100,5,12.5,5,16.7,9.26,7.38,2.35,0.0369,0.5904,0.01175,0.47,60.18278268,33.37081243,6.018278268,60.18278268,3.337081243,33.37081243
A2P4B2,PBS,Serum_D22,Cage1-3,150.00,100,5,12.5,5,15.3,7.61,6.16,2.45,0.0308,0.4928,0.01225,0.49,63.36138351,31.51504108,6.336138351,42.24092234,3.151504108,21.01002739
A2P4B2,PBS,Serum_D22,Cage1-4,100.00,100,5,12.5,5,11.3,5.49,6.46,2.5,0.0323,0.5168,0.0125,0.5,43.73065015,21.24613003,4.373065015,43.73065015,2.124613003,21.24613003
A2P4B2,PBS,Serum_D22,Cage1-5,100.00,100,5,12.5,5,11.3,5.8,6.09,2.62,0.03045,0.4872,0.0131,0.524,44.26290126,22.71901127,4.426290126,44.26290126,2.271901127,22.71901127
A2P4B2,3EH_PBS,Serum_D22,Cage2-1,150.00,100,5,12.5,5,13.9,6.13,6.61,2.51,0.03305,0.5288,0.01255,0.502,52.36241117,23.09220003,5.236241117,34.90827411,2.309220003,15.39480002
A2P4B2,3EH_PBS,Serum_D22,Cage2-2,150.00,100,5,12.5,5,27.5,12,5.66,1.81,0.0283,0.4528,0.00905,0.362,167.7713137,73.20930051,16.77713137,111.8475424,7.320930051,48.80620034
A2P4B2,3EH_PBS,Serum_D22,Cage2-3,150.00,100,5,12.5,5,14.4,10.3,5.27,1.52,0.02635,0.4216,0.0076,0.304,112.3539399,80.36427644,11.23539399,74.90262659,8.036427644,53.57618429
A2P4B2,3EH_PBS,Serum_D22,Cage2-4,150.00,100,5,12.5,5,8.88,5.1,4.97,0.703,0.02485,0.3976,0.003515,0.1406,158.8478238,91.23016907,15.88478238,105.8985492,9.123016907,60.82011271
A2P4B2,3EH_PBS,Serum_D22,Cage2-5,150.00,100,5,12.5,5,8.19,5.82,2.89,0.69,0.01445,0.2312,0.00345,0.138,256.6947495,182.4131187,25.66947495,171.129833,18.24131187,121.6087458
A2P4B2,CRA,Serum_D22,Cage3-1,150.00,100,5,12.5,5,11,4.2,5.1,0.984,0.0255,0.408,0.00492,0.1968,136.9958553,52.30750837,13.69958553,91.33057017,5.230750837,34.87167225
