Assay,Treatment,Sample,File,Live,LiveCount,Treg,TregCount,Resident,ResidentCount,CD3R,CD3R.Count
P4B2,CRA_3EH,1-Jan,WT_Mouse_DC_LungT_001_011.fcs,86.9,389999,2.48,385,64.1,249973,3.71,9284
P4B2,CRA_3EH,2-Jan,WT_Mouse_DC_LungT_002_012.fcs,82.7,254752,2.6,246,68.3,173884,6.77,11777
P4B2,CRA_3EH,3-Jan,WT_Mouse_DC_LungT_003_013.fcs,81.2,195694,2.48,263,80.8,158093,7.85,12412
P4B2,CRA_3EH,4-Jan,WT_Mouse_DC_LungT_004_014.fcs,78.3,159385,2.97,136,73,116307,6.35,7382
P4B2,CRA_3EH,5-Jan,WT_Mouse_DC_LungT_005_015.fcs,67.5,265471,2.35,209,76.9,204166,5.24,10700
P4B2,CRA_Glycerol,1-Feb,WT_Mouse_DC_LungT_006_016.fcs,88.8,254311,6.29,582,72.4,184229,5.22,9619
P4B2,CRA_Glycerol,2-Feb,WT_Mouse_DC_LungT_007_017.fcs,82.9,294359,4.38,553,70.9,208619,6.59,13741
P4B2,CRA_Glycerol,3-Feb,WT_Mouse_DC_LungT_008_018.fcs,80.8,187786,5.05,415,73.1,137208,6.02,8265
P4B2,CRA_Glycerol,4-Feb,WT_Mouse_DC_LungT_009_019.fcs,76.9,134409,4.25,359,76.8,103216,8.66,8940
P4B2,CRA_Glycerol,5-Feb,WT_Mouse_DC_LungT_010_020.fcs,68.5,217538,4.22,252,80.1,174298,2.46,4280
P4B2,PBS_3EH,1-Mar,WT_Mouse_DC_LungT_011_021.fcs,82.3,302163,2.26,153,78.2,236320,1.31,3094
P4B2,PBS_3EH,2-Mar,WT_Mouse_DC_LungT_012_022.fcs,92,73517,0.98,31,77.5,56954,13.4,7626
P4B2,PBS_3EH,3-Mar,WT_Mouse_DC_LungT_013_023.fcs,70.3,202468,2.44,131,77.3,156585,1.69,2646
P4B2,PBS_3EH,4-Mar,WT_Mouse_DC_LungT_014_024.fcs,68,208582,3.27,117,77,160552,1.22,1964
P4B2,PBS_3EH,5-Mar,WT_Mouse_DC_LungT_015_025.fcs,77.3,157472,2.04,117,58.5,92104,4.09,3771
P4B2,PBS_Glycerol,1-Apr,WT_Mouse_DC_LungT_016_026.fcs,88.7,266672,1.66,79,76.6,204354,1,2046
P4B2,PBS_Glycerol,2-Apr,WT_Mouse_DC_LungT_017_027.fcs,86.1,250644,1.74,47,78.9,197845,1.02,2018
P4B2,PBS_Glycerol,3-Apr,WT_Mouse_DC_LungT_018_028.fcs,76.3,171538,1.87,40,70.8,121487,0.74,905
P4B2,PBS_Glycerol,4-Apr,WT_Mouse_DC_LungT_019_029.fcs,76.4,191596,2.37,61,81.7,156489,1.11,1732
P4B1,CRA_3EH,1-Jan,WT_Mouse_DC_LungT_001_011.fcs,95.5,258523,3.74,741,45,116295,18.7,21738
P4B1,CRA_3EH,2-Jan,WT_Mouse_DC_LungT_002_012.fcs,92.4,122857,1.86,168,55.2,67822,14.9,10076
P4B1,CRA_3EH,3-Jan,WT_Mouse_DC_LungT_003_013.fcs,94.8,341938,2.2,709,69.6,238143,21.7,51747
P4B1,CRA_3EH,4-Jan,WT_Mouse_DC_LungT_004_014.fcs,90.3,187879,2.29,276,43.1,80896,12.4,10070
P4B1,CRA_Glycerol,1-Feb,WT_Mouse_DC_LungT_005_015.fcs,91.7,148913,2.73,251,37.5,55824,12.6,7030
P4B1,CRA_Glycerol,2-Feb,WT_Mouse_DC_LungT_006_016.fcs,98.9,161071,2.95,360,52.2,84051,14.7,12365
P4B1,CRA_Glycerol,3-Feb,WT_Mouse_DC_LungT_007_017.fcs,91.2,158058,3.43,397,43.8,69265,17.7,12234
P4B1,CRA_Glycerol,4-Feb,WT_Mouse_DC_LungT_008_018.fcs,87.1,207656,3.34,663,49.3,102354,17.9,18364
P4B1,CRA_Glycerol,5-Feb,WT_Mouse_DC_LungT_009_019.fcs,81.1,159776,2.65,310,49.1,78526,9.58,7524
P4B1,PBS_3EH,1-Mar,WT_Mouse_DC_LungT_010_020.fcs,85.6,109202,1.74,147,39.3,42956,5,2147
P4B1,PBS_3EH,2-Mar,WT_Mouse_DC_LungT_011_021.fcs,99.6,181635,1.95,188,49.4,89659,4.52,4052
P4B1,PBS_3EH,3-Mar,WT_Mouse_DC_LungT_012_022.fcs,89.5,134614,1.19,87,37.4,50340,5.27,2652
P4B1,PBS_3EH,4-Mar,WT_Mouse_DC_LungT_013_023.fcs,85.6,165113,1.12,123,29.1,48035,5.07,2433
P4B1,PBS_3EH,5-Mar,WT_Mouse_DC_LungT_014_024.fcs,85.9,131468,1.04,84,41.1,54022,6.98,3772
P4B1,PBS_Glycerol,1-Apr,WT_Mouse_DC_LungT_015_025.fcs,89.9,182806,1.09,110,37.2,68077,6.28,4278
P4B1,PBS_Glycerol,2-Apr,WT_Mouse_DC_LungT_016_026.fcs,94.1,175792,2.22,214,48.4,85161,7.65,6511
P4B1,PBS_Glycerol,3-Apr,WT_Mouse_DC_LungT_017_027.fcs,92,209954,1.89,280,41.1,86347,7.79,6727
P4B1,PBS_Glycerol,4-Apr,WT_Mouse_DC_LungT_018_028.fcs,84.2,138102,1.32,134,22,30335,3.8,1153
P4B1,PBS_Glycerol,5-Apr,WT_Mouse_DC_LungT_019_029.fcs,79,143890,1.9,316,55.2,79472,26.1,20744
